Date,global-economy_Titles,global-economy_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T12:38:45.207Z,Central banks shouldn’t relax about r-star just yet,Predictions that inflation and rates will fall to pre-pandemic levels are not necessarily correct,Neutral,0.9984499216079712,Neutral,0.9977401494979858
2023-07-03T11:31:10.087Z,Transatlantic impasse over turning steel green Premium content,The US is watching politics in the Midwest while the EU is fretting about the WTO,Neutral,0.7930781245231628,Negative,0.7320579290390015
2023-07-03T10:45:01.859Z,"Weak petrol competition pushes up prices for UK consumers, watchdog says","Average supermarket fuel margins climbed 6p a litre between 2019 and 2022, CMA says",Negative,0.999762237071991,Positive,0.9984250068664551
2023-07-03T10:32:24.923Z,FirstFT: Apple forced to slash Vision Pro headset production target,"Also in today’s newsletter, Pimco’s chief investment officer talks to the Financial Times and Tesla’s car production hits record",Negative,0.8364464044570923,Neutral,0.9315373301506042
2023-07-03T09:04:34.002Z,Beware a Chinese ‘dollar avalanche’,Companies have been hoarding greenbacks ,Neutral,0.9999713897705078,Neutral,0.9986955523490906
none,none,none,0,0.0,0,0.0
2023-07-03T05:20:23.980Z,Pakistan’s businesses urge more help for crisis-hit economy after IMF deal,Short-term $3bn bailout eases default fears but looming election raises prospect reforms could be unwound,Positive,0.6739591956138611,Positive,0.9999974966049194
2023-07-03T04:00:10.606Z,There is more to life and death than GDP,Economic growth isn’t the only way to compare how well countries are doing,Neutral,0.9975384473800659,Neutral,0.9981892704963684
2023-07-03T04:00:10.427Z,A defining moment for central banking,"In the face of a stubborn trilemma of challenges, central banks need help to restore policy credibility",Neutral,0.9997225403785706,Negative,0.4815137982368469
2023-07-03T01:12:28.612Z,Vietnam becomes vital link in supply chain as business pivots from China,Rising investment amid geopolitical tensions puts infrastructure under strain,Positive,0.7015023231506348,Negative,0.9999881982803345
none,none,none,0,0.0,0,0.0
2023-07-02T17:00:34.591Z,UK’s mortgage relief measures risk a financial shortfall in later life ,Advisers warn of higher total interest payments and threat to retirement savings ,Negative,0.9694468379020691,Negative,0.999755322933197
2023-07-02T13:00:34.774Z,The EU must realise that economic security begins at home,It will be easier to derisk relations with China if Europeans can build a strong domestic market,Neutral,0.9997465014457703,Positive,0.999990701675415
none,none,none,0,0.0,0,0.0
2023-07-02T11:00:37.804Z,Is the US labour market cooling?,Market Questions is the FT’s guide to the week ahead,Neutral,0.9982099533081055,Neutral,0.991395890712738
2023-07-02T09:15:48.742Z,China urges developing countries to oppose ‘unrealistic’ shipping levy ,"Emissions tax would impose high costs on maritime trade, says world’s largest exporter",Neutral,0.9995710253715515,Negative,0.9466935396194458
2023-07-02T08:34:13.086Z,France endures fourth night of violence and looting after police shooting ,Interior minister says intensity of protests is fading but Macron cancels visit to Germany,Neutral,0.9808261394500732,Neutral,0.512474775314331
2023-07-02T04:00:36.550Z,Bond fund giant Pimco prepares for ‘harder landing’ for global economy,CIO Daniel Ivascyn says the market is ‘too confident in the quality of central bank decisions’,Neutral,0.999616265296936,Negative,0.7877902388572693
2023-07-02T04:00:36.489Z,Belarus: an ever growing dependency on Russia,Alexander Lukashenko claims he can be loyal to Moscow while staying independent. But sanctions have left the country even more reliant on Russia’s economy,Negative,0.892677366733551,Neutral,0.8319376707077026
none,none,none,0,0.0,0,0.0
2023-07-02T04:00:36.435Z,Here’s a tale of economic ‘resilience’ — but it’s not the one you think,Emerging markets are proving less vulnerable to rising interest rates than many analysts feared,Positive,0.9147956967353821,Negative,0.9847443699836731
2023-07-01T13:00:15.548Z,Where is the embattled UK consumer spending their money?,"Summer clothes, shorter breaks and occasional treats are in but household appliances are out ",Neutral,0.98837810754776,Neutral,0.9999955892562866
2023-07-01T13:00:15.514Z,Gilts lose out in global bond market rally,Stubborn inflation makes UK government debt a ‘huge outlier’,Negative,0.9994097948074341,Negative,0.9998857975006104
2023-07-01T12:00:15.227Z,UK dairy industry fears farm closures following processors’ price cuts,Smaller farms at risk as production costs of milk exceed the amount that most farmers are paid,Negative,0.9999996423721313,Negative,0.9988172054290771
2023-06-30T17:48:59.405Z,Can China’s charm offensive with business ease US tensions?,"At this week’s ‘Summer Davos’, officials tried to dispel thoughts of ‘decoupling.’ But geopolitical friction was never far away",Negative,0.5276105999946594,Negative,0.7643014788627625
2023-06-30T17:36:29.982Z,"Austerity is back, and this time it’s monetary",The Bank of England must avoid overdosing the economy and tolerate above-target inflation for a little longer,Negative,0.5087661743164062,Negative,0.7418459057807922
2023-06-30T17:15:02.587Z,Double dose of inflation news cheers investors,"Also in this newsletter: Apple valuation back above $3tn, factory activity shrinks again in China, science round-up ",Positive,0.7771289944648743,Negative,0.9954172372817993
2023-06-30T15:56:47.780Z,Will Jeremy Hunt’s cost of living ‘action plan’ rescue UK consumers?,Campaigners say more needs to be done in the battle to reduce bills and increase savings rates,Neutral,0.673008143901825,Neutral,0.9769986271858215
2023-06-30T15:12:50.319Z,Dozens of ASML shipments to China face tougher export curbs,The Netherlands seeks to align with US and Japan as introduction of licence tightens controls from September,Negative,0.999983549118042,Neutral,0.9982977509498596
2023-06-30T14:54:04.908Z,Eurozone inflation falls to 5.5%,Persistence of core consumer price pressures raises expectations that ECB will keep raising rates ,Neutral,0.8055754899978638,Positive,0.9997418522834778
2023-06-30T09:49:18.839Z,FirstFT: Bankers’ fees plunge to near-decade low,"Also in today’s newsletter, the impact on corporate diversity schemes after yesterday’s Supreme Court decision",Negative,0.9999967813491821,Neutral,0.9996839761734009
2023-06-30T09:07:14.354Z,Global inflation tracker: see how your country compares on rising prices,Inflationary pressures are beginning to wane,Neutral,0.9999818801879883,Negative,0.8945532441139221
2023-06-30T06:00:34.045Z,Weak China manufacturing data adds to pressure on economy,Index of factory activity shows third consecutive month of slowdown,Negative,0.9999995231628418,Negative,0.9941799640655518
2023-06-29T20:00:24.233Z,ECB hawks take aggressive stance on rates after UK inflation wake-up call,"Persistent price pressures facing BoE boost case for keeping borrowing costs high, say eurozone policymakers",Neutral,0.9314804077148438,Negative,0.9810845851898193
none,none,none,0,0.0,0,0.0
2023-06-29T16:30:38.373Z,Investors must realise the pendulum of history is swinging to Bidenomics,"An explicit repudiation of the Reagan era will make some in the financial sector nervous, but they cannot ignore it",Neutral,0.9863502383232117,Negative,0.999850869178772
2023-06-29T16:23:28.510Z,German inflation surges more than expected to 6.8%,Spain becomes first major eurozone economy to beat ECB’s 2% target in almost 2 years,Positive,0.9935871362686157,Positive,0.9999986886978149
2023-06-29T15:50:00.844Z,About those pandemic savings…,Pray for Swedes,Neutral,0.9989491105079651,Neutral,0.9975469708442688
2023-06-29T15:22:37.004Z,Now is a time of tough choices — including on the 2% inflation target,That goal should be subject to public scrutiny and judged against the demands of the moment,Negative,0.8368101119995117,Neutral,0.9994745850563049
none,none,none,0,0.0,0,0.0
2023-06-29T14:57:42.638Z,Immigration: outsourcers will receive contracts surge — and painful scrutiny Premium content,Risks such as scandals around the treatment of migrants can destabilise businesses,Positive,0.9615597724914551,Negative,0.9995148181915283
2023-06-29T12:09:39.911Z,Hard-pressed UK households withdraw record amount from banks  ,Customers pull £4.6bn from accounts in May to pay bills and access higher interest rates,Negative,0.8871766328811646,Neutral,0.9985933899879456
none,none,none,0,0.0,0,0.0
2023-06-29T10:37:11.584Z,"Move over, DM and EM. Here come GI, BM, SCH, SBS, NRW and SC",Always read the label,Neutral,0.9999995231628418,Neutral,0.9996384382247925
