Date,us-economy_Titles,us-economy_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T11:31:10.087Z,Transatlantic impasse over turning steel green Premium content,The US is watching politics in the Midwest while the EU is fretting about the WTO,Neutral,0.7930781245231628,Negative,0.7320579290390015
2023-07-03T09:04:34.002Z,Beware a Chinese ‘dollar avalanche’,Companies have been hoarding greenbacks ,Neutral,0.9999713897705078,Neutral,0.9986955523490906
2023-07-02T13:00:34.774Z,The EU must realise that economic security begins at home,It will be easier to derisk relations with China if Europeans can build a strong domestic market,Neutral,0.9997465014457703,Positive,0.999990701675415
2023-07-02T11:00:37.804Z,Is the US labour market cooling?,Market Questions is the FT’s guide to the week ahead,Neutral,0.9982099533081055,Neutral,0.991395890712738
2023-07-02T04:00:36.524Z,US private equity faces extra scrutiny under new merger review rules ,"Antitrust agencies’ overhaul adds to growing checks on sector and will delay deals, say lawyers",Negative,0.9998663663864136,Neutral,0.4052008092403412
none,none,none,0,0.0,0,0.0
2023-07-02T04:00:36.435Z,Here’s a tale of economic ‘resilience’ — but it’s not the one you think,Emerging markets are proving less vulnerable to rising interest rates than many analysts feared,Positive,0.9147956967353821,Negative,0.9847443699836731
2023-06-30T17:48:59.405Z,Can China’s charm offensive with business ease US tensions?,"At this week’s ‘Summer Davos’, officials tried to dispel thoughts of ‘decoupling.’ But geopolitical friction was never far away",Negative,0.5276105999946594,Negative,0.7643014788627625
2023-06-30T04:25:44.911Z,Japanese yen falls to 7-month low against dollar,Currency close to levels of last market intervention by Tokyo,Neutral,0.9975878000259399,Neutral,0.9998961687088013
2023-06-30T04:00:03.733Z,Investors’ use of Fed overnight facility falls to lowest in a year,Usage of reverse repo facility falls by more than $200bn this month as money market funds slowly move into Treasuries,Negative,0.9985318183898926,Neutral,0.9961044788360596
none,none,none,0,0.0,0,0.0
2023-06-30T04:00:03.500Z,Why do some UK cities punch below their weight?,Poor transport between cities beyond the south-east is holding back Manchester and Birmingham ,Neutral,0.6708819270133972,Negative,0.9999992847442627
2023-06-29T17:37:35.214Z,Chancellor’s ‘stealth tax’ sweeps earners into higher-rate bands,Number of higher-rate taxpayers set to surge to 5.6mn ,Neutral,0.9923263788223267,Positive,0.9998024106025696
none,none,none,0,0.0,0,0.0
2023-06-29T16:30:38.373Z,Investors must realise the pendulum of history is swinging to Bidenomics,"An explicit repudiation of the Reagan era will make some in the financial sector nervous, but they cannot ignore it",Neutral,0.9863502383232117,Negative,0.999850869178772
2023-06-29T15:22:37.004Z,Now is a time of tough choices — including on the 2% inflation target,That goal should be subject to public scrutiny and judged against the demands of the moment,Negative,0.8368101119995117,Neutral,0.9994745850563049
2023-06-29T04:00:25.110Z,Bank of America nurses $100bn paper loss after big bet in bond market,Sum more than double the cost to other US lenders that channelled flood of deposits to cash,Negative,0.9713037014007568,Neutral,0.8812430500984192
2023-06-28T19:13:39.949Z,Biden touts ‘Bidenomics’ as antidote to failed trickle-down policies ,US president defends his economic record in Chicago speech as he faces tough re-election fight,Neutral,0.9977923631668091,Negative,0.863426923751831
2023-06-28T17:20:40.716Z,Central bank chiefs warn interest rates will keep rising,"Fed, ECB and other leaders say tight labour markets mean most aggressive tightening in a generation must continue",Neutral,0.8446301221847534,Neutral,0.7578182816505432
none,none,none,0,0.0,0,0.0
2023-06-28T13:53:57.529Z,EU rejects US offer to end steel tariff dispute ,Brussels and Washington need to find solution by October to avert trade war,Neutral,0.8394859433174133,Neutral,0.9996898174285889
2023-06-28T04:00:10.079Z,White House embraces ‘Bidenomics’ as it seeks to woo sceptical voters,US president to deliver speech touting economic agenda as he seeks more credit for his efforts amid re-election bid,Neutral,0.9250497221946716,Neutral,0.980338454246521
2023-06-28T04:00:10.021Z,The return of quantitative easing,Stock to be boosted by increasing levels of global liquidity in markets,Neutral,0.9981023669242859,Positive,0.9999998807907104
2023-06-27T16:21:37.877Z,America is feeling buyer’s remorse at the world it built,Jake Sullivan has called for a new ‘foreign policy for the middle class’. But what does that really mean?,Neutral,0.9991840720176697,Neutral,0.9998430013656616
2023-06-25T11:00:14.608Z,How hot is eurozone inflation?,Market Questions is the FT’s guide to the week ahead,Neutral,0.9924924969673157,Neutral,0.991395890712738
2023-06-24T13:00:44.497Z,China’s premier avoids ‘factional confrontation’ with Europe on maiden trip,Li Qiang says EU ‘de-risking’ strategy need not jeopardise economic ties with Beijing,Neutral,0.5916452407836914,Neutral,0.6244313716888428
2023-06-22T16:11:35.989Z,US to lend $9.2bn for Ford battery plants in clean energy push,Record loan from Department of Energy to help fund new factories in Tennessee and Kentucky,Neutral,0.9999591112136841,Neutral,0.6907213926315308
2023-06-22T12:05:26.864Z,US overtakes China as market for South Korean goods ,Shifts in supply chains part of changing pattern of global trade,Neutral,0.9633582830429077,Neutral,0.7945044040679932
2023-06-22T11:00:49.899Z,China’s dominance of solar poses difficult choices for the west,The unpalatable truth is that green technologies mean we will have to find ways to co-operate with Beijing,Negative,0.9996808767318726,Negative,0.653556764125824
2023-06-22T04:00:10.996Z,"US cannot rely on allies to meet climate goals, warns Mitsubishi",Domestic manufacturing and ‘friendshoring’ will struggle to supply the clean energy boom,Neutral,0.5961223244667053,Negative,0.9999996423721313
2023-06-22T04:00:10.933Z,Bundesbank lessons for today’s central bankers,"When wage and price increases become tightly intertwined, the damaging ratchet can be hard to eliminate",Neutral,0.7849939465522766,Negative,0.9852397441864014
2023-06-22T04:00:10.674Z,Treasury investors bet on US falling into recession,Yield-curve inversion suggests high chance of economic downturn but riskier assets remain buoyant,Positive,0.7257347702980042,Positive,0.9999996423721313
2023-06-21T17:34:06.428Z,Powell says US inflation battle not over but defends ‘prudent’ pause,"Central bank has ‘long way to go’ to tame price pressures, argues Fed chair ",Positive,0.926827073097229,Neutral,0.9923651814460754
2023-06-21T06:28:13.929Z,Personal inflation calculator: what is your inflation rate?,"As the cost of living continues to rise, find out how much inflation could affect your personal finances",Neutral,0.999916672706604,Neutral,0.9641581773757935
none,none,none,0,0.0,0,0.0
2023-06-21T04:00:44.482Z,Singapore’s GIC accelerates US deals as China cools,Sovereign wealth fund with estimated $700bn under management is targeting venture capital and technology companies,Positive,0.9993093013763428,Neutral,0.9999991655349731
2023-06-20T20:00:42.685Z,Slowdown in junk-rated loan market hits US corporate borrowing plans,"CLOs’ appetite for debt wanes due to limits on purchases, pushing up cost of capital as economy slows",Negative,0.999992847442627,Negative,0.9946072697639465
2023-06-20T16:30:46.097Z,German chancellor presses China to give western companies ‘level playing field’ ,Olaf Scholz tells Chinese premier Li Qiang he wants economic co-operation to continue,Neutral,0.9999836683273315,Neutral,0.9995532631874084
2023-06-20T12:25:44.107Z,Desperately seeking soft landing,"Trapped, metaphorically, by metaphor",Negative,0.8257486820220947,Neutral,0.9998563528060913
none,none,none,0,0.0,0,0.0
2023-06-19T11:40:53.921Z,Europe has fallen behind America and the gap is growing,"From technology to energy to capital markets and universities, the EU cannot compete with the US",Positive,0.9074556231498718,Negative,0.9531019926071167
2023-06-19T10:00:57.788Z,"‘We can de-risk but not decouple’ from China, says Raytheon chief",Head of aerospace and defence group says western manufacturers will find it impossible to completely cut ties ,Neutral,0.9824658632278442,Negative,0.7806380987167358
none,none,none,0,0.0,0,0.0
