Date,uk-business-economy_Titles,uk-business-economy_Subtitles,titles_finBERTLabel,titles_finBERTScore,Subtitles_finBERTLabel,Subtitles_finBERTScore
2023-07-03T12:30:20.221Z,Welsh town left on road to nowhere after Cardiff scraps new bypasses,Environmentalists hail ‘world-leading’ curbs on new highway projects as angry locals worry about economic impact and increased pollution,Neutral,0.9997720122337341,Negative,0.9924330711364746
2023-07-03T11:25:07.131Z,Speculators raise bullish bets on sterling to highest level since 2014,Expectations of higher interest rates push UK two-year borrowing costs to 15-year high,Positive,0.9999992847442627,Positive,0.6739292144775391
2023-07-03T04:00:10.426Z,"Water has a private equity, not a private ownership, issue",The listed groups are less geared and have made a better start at tackling problems with ailing infrastructure,Neutral,0.9999071359634399,Positive,0.9999810457229614
2023-07-02T17:17:43.310Z,"Thames Water crisis could hit UK investment, ministers warn",Utility seeks £1bn to shore up finances amid concern that investment in US is more attractive,Negative,0.9997634291648865,Positive,0.9999397993087769
2023-07-02T17:00:34.591Z,UK’s mortgage relief measures risk a financial shortfall in later life ,Advisers warn of higher total interest payments and threat to retirement savings ,Negative,0.9694468379020691,Negative,0.999755322933197
none,none,none,0,0.0,0,0.0
2023-07-02T16:11:46.577Z,Call for UK to use co-investment with pension funds to drive backing for riskier assets,ABI trade body pushes for state support ahead of sector reforms being unveiled by chancellor,Neutral,0.9999532699584961,Neutral,0.9910839796066284
2023-07-02T04:00:36.460Z,Lessons from the Thames Water debacle,Privatised utilities face a day of reckoning caused by spectacular regulatory failure,Neutral,0.40864208340644836,Negative,0.9999657869338989
2023-07-01T13:00:15.548Z,Where is the embattled UK consumer spending their money?,"Summer clothes, shorter breaks and occasional treats are in but household appliances are out ",Neutral,0.98837810754776,Neutral,0.9999955892562866
2023-07-01T13:00:15.514Z,Gilts lose out in global bond market rally,Stubborn inflation makes UK government debt a ‘huge outlier’,Negative,0.9994097948074341,Negative,0.9998857975006104
none,none,none,0,0.0,0,0.0
2023-07-01T12:00:15.227Z,UK dairy industry fears farm closures following processors’ price cuts,Smaller farms at risk as production costs of milk exceed the amount that most farmers are paid,Negative,0.9999996423721313,Negative,0.9988172054290771
2023-06-30T19:50:52.321Z,Thames Water travails threaten to plunge privatised sector into crisis ,CEO’s abrupt exit and revelations of planning for temporary nationalisation intensify scrutiny of debt-laden industry,Negative,0.9998730421066284,Negative,0.9998764991760254
none,none,none,0,0.0,0,0.0
2023-06-30T18:25:41.033Z,Amber Rudd leads charge to shake up London gentlemen’s club ,Former Conservative minister is one of four women seeking to be the first female members of Pratt’s,Neutral,0.9999852180480957,Neutral,0.9998841285705566
2023-06-30T18:03:45.347Z,Thames Water shareholder shows support for troubled company ,Universities Superannuation Scheme gives backing to turnround plan as Severn Water boss tries to rally sector against nationalisation,Positive,0.9999943971633911,Neutral,0.8287944197654724
2023-06-30T17:58:32.940Z,England’s ill-fated experiment with privatising water,Problems at Thames show how sector was reshaped by financial engineering,Neutral,0.9871538281440735,Negative,0.9999476671218872
2023-06-30T17:36:29.982Z,"Austerity is back, and this time it’s monetary",The Bank of England must avoid overdosing the economy and tolerate above-target inflation for a little longer,Negative,0.5087661743164062,Negative,0.7418459057807922
2023-06-30T17:14:35.233Z,Odey Asset Management pushes to restructure one of its oldest funds,Move to rehome Freddie Neave’s portfolio follows in the wake of sexual assault claims against firm’s founder,Neutral,0.9990068078041077,Neutral,0.894378662109375
none,none,none,0,0.0,0,0.0
2023-06-30T17:10:30.147Z,City veteran Montague takes on next challenge at Thames Water,Former colleagues say new chair will need all his experience of government and business to fix debt-laden utility,Neutral,0.8944354057312012,Neutral,0.9999423027038574
2023-06-30T15:56:47.780Z,Will Jeremy Hunt’s cost of living ‘action plan’ rescue UK consumers?,Campaigners say more needs to be done in the battle to reduce bills and increase savings rates,Neutral,0.673008143901825,Neutral,0.9769986271858215
2023-06-30T14:26:03.030Z,HMRC criticised over year-long tax probe delay,Contractors challenge authority’s claims over managed service company law  ,Negative,0.9996376037597656,Neutral,0.6495630741119385
2023-06-30T13:08:39.211Z,Some pointless charts about the BoE’s Monetary Policy Committee,"Marking Tenrexit, with data",Neutral,0.9999090433120728,Neutral,0.9999456405639648
2023-06-30T09:24:23.562Z,UK house prices tick up despite surging mortgage rates,"Property market exceeds forecasts with 0.1% rise between May and June, lender Nationwide says",Positive,0.9794115424156189,Positive,0.9980738162994385
2023-06-30T04:00:03.692Z,Who would want to take on a fixer-upper?,"The soaring price of materials, a lack of skilled labour and surging mortgage rates have put many renovation plans in the UK on hold",Neutral,0.9988099336624146,Negative,0.9999984502792358
2023-06-30T04:00:03.687Z,The high rise and fall of Canary Wharf,HSBC’s decision to leave underlines London financial district’s need to reinvent itself again,Neutral,0.998134434223175,Negative,0.9940565824508667
2023-06-30T04:00:03.500Z,Why do some UK cities punch below their weight?,Poor transport between cities beyond the south-east is holding back Manchester and Birmingham ,Neutral,0.6708819270133972,Negative,0.9999992847442627
2023-06-29T23:04:59.810Z,"Waste reduction plans in England ‘do not exist’, watchdog warns",Four years after outlining ambitious targets ministers have made little progress ,Negative,0.914846658706665,Negative,0.9999964237213135
2023-06-29T21:31:05.888Z,NHS aims to double training places for doctors and nurses ,Long-awaited plan for health service workforce in England seeks to tackle staffing crisis and waiting lists,Neutral,0.9992239475250244,Negative,0.7143389582633972
2023-06-29T20:00:24.233Z,ECB hawks take aggressive stance on rates after UK inflation wake-up call,"Persistent price pressures facing BoE boost case for keeping borrowing costs high, say eurozone policymakers",Neutral,0.9314804077148438,Negative,0.9810845851898193
2023-06-29T17:54:14.175Z,UK regulator to crack down on electricity generators making ‘excessive profits’,Ofgem proposes reform after finding some power station owners held back supplies to secure higher prices,Negative,0.9999632835388184,Neutral,0.9986901879310608
2023-06-29T17:37:35.214Z,Chancellor’s ‘stealth tax’ sweeps earners into higher-rate bands,Number of higher-rate taxpayers set to surge to 5.6mn ,Neutral,0.9923263788223267,Positive,0.9998024106025696
2023-06-29T17:20:37.487Z,Why Thames Water is under growing strain,Cost of utility’s £16bn debt has surpassed price increases it has been able to pass on to consumers,Negative,0.9479248523712158,Positive,0.9995911717414856
none,none,none,0,0.0,0,0.0
2023-06-29T15:22:37.004Z,Now is a time of tough choices — including on the 2% inflation target,That goal should be subject to public scrutiny and judged against the demands of the moment,Negative,0.8368101119995117,Neutral,0.9994745850563049
2023-06-29T14:57:42.638Z,Immigration: outsourcers will receive contracts surge — and painful scrutiny Premium content,Risks such as scandals around the treatment of migrants can destabilise businesses,Positive,0.9615597724914551,Negative,0.9995148181915283
2023-06-29T12:09:39.911Z,Hard-pressed UK households withdraw record amount from banks  ,Customers pull £4.6bn from accounts in May to pay bills and access higher interest rates,Negative,0.8871766328811646,Neutral,0.9985933899879456
2023-06-29T11:25:19.522Z,Thames Water appoints Montague as chair ,Veteran troubleshooter brought in as government contemplates potential taxpayer rescue,Neutral,0.9999880790710449,Negative,0.9999662637710571
none,none,none,0,0.0,0,0.0
2023-06-29T04:00:32.000Z, Banks try to avoid ending up like SVB,Sterling suffers biggest one-day fall against the dollar in a month following UK growth fears,Neutral,0.9587559103965759,Negative,0.9999792575836182
2023-06-29T04:00:25.062Z,Global brands and tech groups back new ads measurement system ,Brands want a better understanding of where they should allocate marketing spending ,Neutral,0.995524525642395,Neutral,0.9997956156730652
none,none,none,0,0.0,0,0.0
2023-06-29T04:00:24.813Z,Shed no tears over the travails of London’s equity market ,Rishi Sunak’s promotion of financial services misses the point that an oversized sector can harm the rest of the economy,Negative,0.642641007900238,Negative,0.9999927282333374
2023-06-29T04:00:24.615Z,UK braced for Nimby wars over clean energy infrastructure,Grid upgrades to support wind power likely to spark strong objections in affected communities,Neutral,0.5786715745925903,Positive,0.9999998807907104
2023-06-28T19:03:35.190Z,Hunt to review profits in UK food industry supply chain,Chancellor agrees steps with regulators in response to high food inflation and the cost of living crisis,Neutral,0.9980859756469727,Neutral,0.9997171759605408
2023-06-28T18:07:15.504Z,UK government looks at nationalising Thames Water as crisis deepens,Ministers on standby to intervene in debt-laden business a day after abrupt exit of chief Sarah Bentley,Neutral,0.978379487991333,Neutral,0.9994460940361023
2023-06-28T17:37:50.362Z,UK water sector faces biggest crisis since Thatcher’s 1989 privatisation,Contingency plan to rescue Thames Water with others also struggling under debt burden,Negative,0.9940832257270813,Negative,0.9999889135360718
none,none,none,0,0.0,0,0.0
2023-06-28T17:20:40.716Z,Central bank chiefs warn interest rates will keep rising,"Fed, ECB and other leaders say tight labour markets mean most aggressive tightening in a generation must continue",Neutral,0.8446301221847534,Neutral,0.7578182816505432
2023-06-28T16:02:12.242Z,Drax rules out keeping UK coal plants open this winter,Power group’s decision comes despite government request to maintain North Yorkshire facility ,Neutral,0.9998832941055298,Neutral,0.9993252754211426
2023-06-28T15:58:30.446Z,BoE governor signals interest rates likely to stay higher for longer,Andrew Bailey suggests financial markets are wrong in their bets about future monetary policy,Negative,0.7555167078971863,Neutral,0.9785287380218506
2023-06-28T15:19:30.465Z,Direct Line to reassess claims after regulator discovers underpayments,FCA orders motor insurer to go through five years of payouts for written-off vehicles,Neutral,0.9995668530464172,Neutral,0.999813973903656
2023-06-28T14:42:06.172Z,Pension schemes argue London listing reforms would damage City,Investors complain fundamental rights of shareholders would be threatened by FCA’s plans to attract more companies to list in the UK,Negative,0.9999668598175049,Neutral,0.7172890901565552
2023-06-28T09:29:46.748Z,A quick guide to Thames Water’s serpentine capital structure,Built to last or built to fail?,Neutral,0.9999306201934814,Neutral,0.6241040229797363
2023-06-28T04:00:10.237Z,Am I liable for my company’s tax liabilities?,I own a couple of restaurants that were turning over a good profit before Covid-19 but have struggled since.,Neutral,0.9730374217033386,Negative,0.9993599057197571
2023-06-28T04:00:10.236Z,So much for UK savers and homeowners — what about the have-neithers?,Research suggests 3mn people have borrowed from an illegal money lender over the past three years,Neutral,0.9997783303260803,Neutral,0.9949954748153687
2023-06-28T04:00:10.211Z,PwC tells UK staff to expect smaller pay rises and bonuses,Salary bands to be frozen for some junior auditors despite calls to catch up with high inflation,Neutral,0.9989752769470215,Neutral,0.9996551275253296
2023-06-28T04:00:09.916Z,UK manufacturers warn Brexit is undermining their place in EU supply chains,"High-end industry is particularly at risk, heightening Britain’s productivity crisis, economists warn",Negative,0.9854010939598083,Negative,0.9999916553497314
2023-06-28T00:09:04.607Z,Thames Water chief in sudden departure amid struggle with £14bn debt pile ,"Sarah Bentley exits as concern grows over financial resilience, environmental record and lack of investment  ",Negative,0.9744128584861755,Negative,0.9991982579231262
2023-06-27T23:01:31.204Z,"One in 10 pupils taught in English schools that need rebuilding, says watchdog",National Audit Office warns of declining conditions following years of under-investment by UK government ,Neutral,0.9972789883613586,Negative,0.9996089339256287
2023-06-27T23:01:17.881Z,Price discounts jump as rising mortgage costs ‘spook’ UK housebuyers,"Share of vendors taking a hit of at least 5% has jumped in recent weeks, according to research by Zoopla",Negative,0.8765160441398621,Neutral,0.988628625869751
2023-06-27T15:45:43.482Z,UK rejects claim that EU science programme talks are foundering ,Experts warn that delay to membership of Horizon harms Britain’s aspiration to be science superpower  ,Neutral,0.7491922378540039,Negative,0.9995421171188354
none,none,none,0,0.0,0,0.0
2023-06-27T13:50:05.826Z,Senior doctors in England vote for strike action over pay,Consultants represented by the BMA to walk out as nurses end industrial action,Neutral,0.9993383288383484,Neutral,0.999514102935791
2023-06-27T13:15:57.826Z,Hunt to discuss cost of living crisis with regulators,Chancellor will ask Britain’s watchdogs whether there is evidence of price gouging by companies,Neutral,0.9987983703613281,Neutral,0.9999175071716309
2023-06-27T04:00:39.264Z,UK’s projected windfall tax take from North Sea levy drops 40%,Most recent Treasury forecast of £26bn reflects sharp drop in oil and gas prices in recent months,Neutral,0.5629889369010925,Negative,0.9999890327453613
